2023-11-08 03:08:51.723325: E tensorflow/compiler/xla/stream_executor/cuda/cuda_dnn.cc:9342] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
2023-11-08 03:08:51.723379: E tensorflow/compiler/xla/stream_executor/cuda/cuda_fft.cc:609] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
2023-11-08 03:08:51.723408: E tensorflow/compiler/xla/stream_executor/cuda/cuda_blas.cc:1518] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2023-11-08 03:08:51.734078: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2023-11-08 03:08:56.781865: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
Found cached dataset json (/home/irving.b/.cache/huggingface/datasets/siddharthtumre___json/revised-jnlpba-4a016f8e66f37421/0.0.0/e347ab1c932092252e717ff3f949105a4dd28b27e842dd53157d2f72e276c2e4)
hugging face dataset:  siddharthtumre/jnlpba-split
hugging face model:  dmis-lab/biobert-v1.1
Training model from scratch
  0%|          | 0/3 [00:00<?, ?it/s]100%|██████████| 3/3 [00:00<00:00, 94.45it/s]
loss:  2.620203231390325
loss:  0.9228720733062071
length:  352.70426988601685
loss total:  7912.607570572886
training accuracy:  tensor(0.8294, device='cuda:0')
macro training f1:  tensor(0.3915, device='cuda:0')
micro training f1:  tensor(0.8294, device='cuda:0')
Accuracy on validation set:  tensor(0.4446, device='cuda:0')
macro F1 on validation set:  tensor(0.3969, device='cuda:0')
micro f1 validation set:  tensor(0.4446, device='cuda:0')
tensor(0.3969, device='cuda:0')
loss:  0.1970873184718491
loss:  1.430250037573433
length:  749.891172170639
loss total:  13850.589861136486
training accuracy:  tensor(0.8568, device='cuda:0')
macro training f1:  tensor(0.5177, device='cuda:0')
micro training f1:  tensor(0.8568, device='cuda:0')
Accuracy on validation set:  tensor(0.5337, device='cuda:0')
macro F1 on validation set:  tensor(0.4598, device='cuda:0')
micro f1 validation set:  tensor(0.5337, device='cuda:0')
tensor(0.0629, device='cuda:0')
loss:  0.17677519115882395
loss:  0.8070392391763227
length:  1147.1431670188904
loss total:  18263.2620205186
training accuracy:  tensor(0.8882, device='cuda:0')
macro training f1:  tensor(0.6288, device='cuda:0')
micro training f1:  tensor(0.8882, device='cuda:0')
Accuracy on validation set:  tensor(0.6060, device='cuda:0')
macro F1 on validation set:  tensor(0.5738, device='cuda:0')
micro f1 validation set:  tensor(0.6060, device='cuda:0')
tensor(0.1140, device='cuda:0')
loss:  0.0892369981766976
loss:  0.42610646488766724
length:  1544.2177710533142
loss total:  21338.823563043952
training accuracy:  tensor(0.9187, device='cuda:0')
macro training f1:  tensor(0.7384, device='cuda:0')
micro training f1:  tensor(0.9187, device='cuda:0')
Accuracy on validation set:  tensor(0.6179, device='cuda:0')
macro F1 on validation set:  tensor(0.6066, device='cuda:0')
micro f1 validation set:  tensor(0.6179, device='cuda:0')
tensor(0.0328, device='cuda:0')
loss:  0.0693918513263045
loss:  0.08280285678756703
length:  1941.4142611026764
loss total:  23394.224568582194
training accuracy:  tensor(0.9433, device='cuda:0')
macro training f1:  tensor(0.8208, device='cuda:0')
micro training f1:  tensor(0.9433, device='cuda:0')
Accuracy on validation set:  tensor(0.6602, device='cuda:0')
macro F1 on validation set:  tensor(0.6324, device='cuda:0')
micro f1 validation set:  tensor(0.6602, device='cuda:0')
tensor(0.0258, device='cuda:0')
loss:  0.042184866406381374
loss:  0.09276031701624711
length:  2338.61479139328
loss total:  24715.11800473565
training accuracy:  tensor(0.9623, device='cuda:0')
macro training f1:  tensor(0.8817, device='cuda:0')
micro training f1:  tensor(0.9623, device='cuda:0')
Accuracy on validation set:  tensor(0.6648, device='cuda:0')
macro F1 on validation set:  tensor(0.6376, device='cuda:0')
micro f1 validation set:  tensor(0.6648, device='cuda:0')
tensor(0.0052, device='cuda:0')
loss:  0.05325155005620629
loss:  0.048449836420141584
length:  2735.810272216797
loss total:  25622.26691820717
training accuracy:  tensor(0.9732, device='cuda:0')
macro training f1:  tensor(0.9179, device='cuda:0')
micro training f1:  tensor(0.9732, device='cuda:0')
Accuracy on validation set:  tensor(0.6970, device='cuda:0')
