,Open_0,High_0,Low_0,Adj Close_0,Open_1,High_1,Low_1,Adj Close_1,Open_2,High_2,Low_2,Adj Close_2,Open_3,High_3,Low_3,Adj Close_3,Open_4,High_4,Low_4,Adj Close_4
0,11432.089844,11759.959961,11388.040039,11734.320312,11729.669922,11867.110352,11675.530273,11782.349609,11781.700195,11782.349609,11601.519531,11642.469727,11632.80957,11633.780273,11453.339844,11532.959961,11532.070312,11718.280273,11450.889648,11615.929688
1,11729.669922,11867.110352,11675.530273,11782.349609,11781.700195,11782.349609,11601.519531,11642.469727,11632.80957,11633.780273,11453.339844,11532.959961,11532.070312,11718.280273,11450.889648,11615.929688,11611.209961,11709.889648,11599.730469,11659.900391
2,11781.700195,11782.349609,11601.519531,11642.469727,11632.80957,11633.780273,11453.339844,11532.959961,11532.070312,11718.280273,11450.889648,11615.929688,11611.209961,11709.889648,11599.730469,11659.900391,11659.650391,11690.429688,11434.120117,11479.389648
3,11532.070312,11718.280273,11450.889648,11615.929688,11611.209961,11709.889648,11599.730469,11659.900391,11659.650391,11690.429688,11434.120117,11479.389648,11478.089844,11478.169922,11318.5,11348.549805,11345.94043,11454.150391,11290.580078,11417.429688
4,11611.209961,11709.889648,11599.730469,11659.900391,11659.650391,11690.429688,11434.120117,11479.389648,11478.089844,11478.169922,11318.5,11348.549805,11345.94043,11454.150391,11290.580078,11417.429688,11415.230469,11476.209961,11315.570312,11430.209961
5,11478.089844,11478.169922,11318.5,11348.549805,11345.94043,11454.150391,11290.580078,11417.429688,11415.230469,11476.209961,11315.570312,11430.209961,11426.790039,11632.129883,11426.790039,11628.05957,11626.19043,11626.269531,11362.629883,11386.25
6,11345.94043,11454.150391,11290.580078,11417.429688,11415.230469,11476.209961,11315.570312,11430.209961,11426.790039,11632.129883,11426.790039,11628.05957,11626.19043,11626.269531,11362.629883,11386.25,11383.55957,11436.240234,11340.410156,11412.870117
7,11415.230469,11476.209961,11315.570312,11430.209961,11426.790039,11632.129883,11426.790039,11628.05957,11626.19043,11626.269531,11362.629883,11386.25,11383.55957,11436.240234,11340.410156,11412.870117,11412.459961,11554.459961,11381.769531,11502.509766
8,11383.55957,11436.240234,11340.410156,11412.870117,11412.459961,11554.459961,11381.769531,11502.509766,11499.870117,11715.179688,11499.790039,11715.179688,11713.230469,11713.230469,11543.389648,11543.959961,11545.629883,11790.169922,11471.900391,11516.919922
9,11499.870117,11715.179688,11499.790039,11715.179688,11713.230469,11713.230469,11543.389648,11543.959961,11545.629883,11790.169922,11471.900391,11516.919922,11506.009766,11554.379883,11416.530273,11532.879883,11532.480469,11532.480469,11176.019531,11188.230469
10,11713.230469,11713.230469,11543.389648,11543.959961,11545.629883,11790.169922,11471.900391,11516.919922,11506.009766,11554.379883,11416.530273,11532.879883,11532.480469,11532.480469,11176.019531,11188.230469,11185.629883,11245.150391,11037.849609,11220.959961
11,11506.009766,11554.379883,11416.530273,11532.879883,11532.480469,11532.480469,11176.019531,11188.230469,11185.629883,11245.150391,11037.849609,11220.959961,11224.870117,11570.660156,11224.790039,11510.740234,11514.730469,11577.5,11230.730469,11230.730469
12,11185.629883,11245.150391,11037.849609,11220.959961,11224.870117,11570.660156,11224.790039,11510.740234,11514.730469,11577.5,11230.730469,11230.730469,11233.910156,11380.629883,11215.259766,11268.919922,11264.44043,11445.679688,11098.669922,11433.709961
13,11224.870117,11570.660156,11224.790039,11510.740234,11514.730469,11577.5,11230.730469,11230.730469,11233.910156,11380.629883,11215.259766,11268.919922,11264.44043,11445.679688,11098.669922,11433.709961,11429.320312,11459.929688,11280.400391,11421.990234
14,11514.730469,11577.5,11230.730469,11230.730469,11233.910156,11380.629883,11215.259766,11268.919922,11264.44043,11445.679688,11098.669922,11433.709961,11429.320312,11459.929688,11280.400391,11421.990234,11416.370117,11416.450195,10917.509766,10917.509766
15,11233.910156,11380.629883,11215.259766,11268.919922,11264.44043,11445.679688,11098.669922,11433.709961,11429.320312,11459.929688,11280.400391,11421.990234,11416.370117,11416.450195,10917.509766,10917.509766,10905.620117,11093.219727,10742.700195,11059.019531
16,11264.44043,11445.679688,11098.669922,11433.709961,11429.320312,11459.929688,11280.400391,11421.990234,11416.370117,11416.450195,10917.509766,10917.509766,10905.620117,11093.219727,10742.700195,11059.019531,11056.580078,11057.30957,10595.900391,10609.660156
17,11429.320312,11459.929688,11280.400391,11421.990234,11416.370117,11416.450195,10917.509766,10917.509766,10905.620117,11093.219727,10742.700195,11059.019531,11056.580078,11057.30957,10595.900391,10609.660156,10609.009766,11076.44043,10459.44043,11019.69043
18,11416.370117,11416.450195,10917.509766,10917.509766,10905.620117,11093.219727,10742.700195,11059.019531,11056.580078,11057.30957,10595.900391,10609.660156,10609.009766,11076.44043,10459.44043,11019.69043,11027.509766,11483.049805,11026.700195,11388.44043
19,11056.580078,11057.30957,10595.900391,10609.660156,10609.009766,11076.44043,10459.44043,11019.69043,11027.509766,11483.049805,11026.700195,11388.44043,11394.419922,11394.580078,10992.200195,11015.69043,11015.69043,11143.209961,10833.94043,10854.169922
20,10609.009766,11076.44043,10459.44043,11019.69043,11027.509766,11483.049805,11026.700195,11388.44043,11394.419922,11394.580078,10992.200195,11015.69043,11015.69043,11143.209961,10833.94043,10854.169922,10850.019531,10928.400391,10753.570312,10825.169922
21,11027.509766,11483.049805,11026.700195,11388.44043,11394.419922,11394.580078,10992.200195,11015.69043,11015.69043,11143.209961,10833.94043,10854.169922,10850.019531,10928.400391,10753.570312,10825.169922,10827.169922,11129.19043,10827.009766,11022.05957
22,11394.419922,11394.580078,10992.200195,11015.69043,11015.69043,11143.209961,10833.94043,10854.169922,10850.019531,10928.400391,10753.570312,10825.169922,10827.169922,11129.19043,10827.009766,11022.05957,11019.040039,11168.05957,10868.820312,11143.129883
23,10850.019531,10928.400391,10753.570312,10825.169922,10827.169922,11129.19043,10827.009766,11022.05957,11019.040039,11168.05957,10868.820312,11143.129883,11139.620117,11139.94043,10365.450195,10365.450195,10371.580078,10868.900391,10371.419922,10850.660156
24,10827.169922,11129.19043,10827.009766,11022.05957,11019.040039,11168.05957,10868.820312,11143.129883,11139.620117,11139.94043,10365.450195,10365.450195,10371.580078,10868.900391,10371.419922,10850.660156,10847.400391,10882.519531,10631.950195,10831.070312
25,11019.040039,11168.05957,10868.820312,11143.129883,11139.620117,11139.94043,10365.450195,10365.450195,10371.580078,10868.900391,10371.419922,10850.660156,10847.400391,10882.519531,10631.950195,10831.070312,10825.540039,10825.540039,10439.519531,10482.849609
26,11139.620117,11139.94043,10365.450195,10365.450195,10371.580078,10868.900391,10371.419922,10850.660156,10847.400391,10882.519531,10631.950195,10831.070312,10825.540039,10825.540039,10439.519531,10482.849609,10483.959961,10796.259766,10310.25,10325.379883
27,10371.580078,10868.900391,10371.419922,10850.660156,10847.400391,10882.519531,10631.950195,10831.070312,10825.540039,10825.540039,10439.519531,10482.849609,10483.959961,10796.259766,10310.25,10325.379883,10322.519531,10322.759766,9525.320312,9955.5
28,10847.400391,10882.519531,10631.950195,10831.070312,10825.540039,10825.540039,10439.519531,10482.849609,10483.959961,10796.259766,10310.25,10325.379883,10322.519531,10322.759766,9525.320312,9955.5,9955.419922,10124.030273,9436.669922,9447.110352
29,10825.540039,10825.540039,10439.519531,10482.849609,10483.959961,10796.259766,10310.25,10325.379883,10322.519531,10322.759766,9525.320312,9955.5,9955.419922,10124.030273,9436.669922,9447.110352,9437.230469,9628.070312,9194.780273,9258.099609
30,10483.959961,10796.259766,10310.25,10325.379883,10322.519531,10322.759766,9525.320312,9955.5,9955.419922,10124.030273,9436.669922,9447.110352,9437.230469,9628.070312,9194.780273,9258.099609,9261.69043,9448.139648,8579.19043,8579.19043
31,10322.519531,10322.759766,9525.320312,9955.5,9955.419922,10124.030273,9436.669922,9447.110352,9437.230469,9628.070312,9194.780273,9258.099609,9261.69043,9448.139648,8579.19043,8579.19043,8568.669922,8901.280273,7882.509766,8451.19043
32,9955.419922,10124.030273,9436.669922,9447.110352,9437.230469,9628.070312,9194.780273,9258.099609,9261.69043,9448.139648,8579.19043,8579.19043,8568.669922,8901.280273,7882.509766,8451.19043,8462.419922,9427.990234,8462.179688,9387.610352
33,9437.230469,9628.070312,9194.780273,9258.099609,9261.69043,9448.139648,8579.19043,8579.19043,8568.669922,8901.280273,7882.509766,8451.19043,8462.419922,9427.990234,8462.179688,9387.610352,9388.969727,9794.370117,9085.429688,9310.990234
34,9261.69043,9448.139648,8579.19043,8579.19043,8568.669922,8901.280273,7882.509766,8451.19043,8462.419922,9427.990234,8462.179688,9387.610352,9388.969727,9794.370117,9085.429688,9310.990234,9301.910156,9308.759766,8530.120117,8577.910156
35,8568.669922,8901.280273,7882.509766,8451.19043,8462.419922,9427.990234,8462.179688,9387.610352,9388.969727,9794.370117,9085.429688,9310.990234,9301.910156,9308.759766,8530.120117,8577.910156,8577.040039,9013.269531,8197.669922,8979.259766
36,8462.419922,9427.990234,8462.179688,9387.610352,9388.969727,9794.370117,9085.429688,9310.990234,9301.910156,9308.759766,8530.120117,8577.910156,8577.040039,9013.269531,8197.669922,8979.259766,8975.349609,9281.120117,8718.25,8852.219727
37,9388.969727,9794.370117,9085.429688,9310.990234,9301.910156,9308.759766,8530.120117,8577.910156,8577.040039,9013.269531,8197.669922,8979.259766,8975.349609,9281.120117,8718.25,8852.219727,8852.299805,9266.629883,8852.219727,9265.429688
38,9301.910156,9308.759766,8530.120117,8577.910156,8577.040039,9013.269531,8197.669922,8979.259766,8975.349609,9281.120117,8718.25,8852.219727,8852.299805,9266.629883,8852.219727,9265.429688,9262.799805,9284.549805,9004.269531,9033.660156
39,8577.040039,9013.269531,8197.669922,8979.259766,8975.349609,9281.120117,8718.25,8852.219727,8852.299805,9266.629883,8852.219727,9265.429688,9262.799805,9284.549805,9004.269531,9033.660156,9027.839844,9027.839844,8335.299805,8519.209961
40,8975.349609,9281.120117,8718.25,8852.219727,8852.299805,9266.629883,8852.219727,9265.429688,9262.799805,9284.549805,9004.269531,9033.660156,9027.839844,9027.839844,8335.299805,8519.209961,8519.769531,8795.990234,8243.549805,8691.25
41,8852.299805,9266.629883,8852.219727,9265.429688,9262.799805,9284.549805,9004.269531,9033.660156,9027.839844,9027.839844,8335.299805,8519.209961,8519.769531,8795.990234,8243.549805,8691.25,8683.209961,8683.209961,8187.47998,8378.950195
42,9262.799805,9284.549805,9004.269531,9033.660156,9027.839844,9027.839844,8335.299805,8519.209961,8519.769531,8795.990234,8243.549805,8691.25,8683.209961,8683.209961,8187.47998,8378.950195,8375.919922,8599.099609,8143.589844,8175.77002
43,9027.839844,9027.839844,8335.299805,8519.209961,8519.769531,8795.990234,8243.549805,8691.25,8683.209961,8683.209961,8187.47998,8378.950195,8375.919922,8599.099609,8143.589844,8175.77002,8178.720215,9082.080078,8174.72998,9065.120117
